number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
12,dublin,ECCLES STREET,Eccles Street,False,False,20,18,2,OPEN,1740297548000,53.359246,-6.269779
34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,False,False,30,30,0,OPEN,1740297597000,53.330362,-6.265163
78,dublin,MATER HOSPITAL,Mater Hospital,False,False,40,35,5,OPEN,1740297568000,53.359967,-6.264828
2,dublin,BLESSINGTON STREET,Blessington Street,False,False,20,19,1,OPEN,1740297567000,53.356769,-6.26814
75,dublin,JAMES STREET,James Street,False,False,40,20,20,OPEN,1740297717000,53.343456,-6.287409
111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,False,False,40,28,12,OPEN,1740297483000,53.356717,-6.256359
26,dublin,MERRION SQUARE WEST,Merrion Square West,False,False,20,7,13,OPEN,1740297630000,53.339764,-6.251988
65,dublin,CONVENTION CENTRE,Convention Centre,False,False,40,32,8,OPEN,1740297716000,53.34744,-6.238523
15,dublin,HARDWICKE STREET,Hardwicke Street,False,False,16,14,2,OPEN,1740297724000,53.355473,-6.264423
86,dublin,PARKGATE STREET,Parkgate Street,False,False,38,7,31,OPEN,1740297466000,53.347972,-6.291804
35,dublin,SMITHFIELD,Smithfield,False,False,30,3,27,OPEN,1740297718000,53.347692,-6.278214
10,dublin,DAME STREET,Dame Street,False,False,16,1,15,OPEN,1740297777000,53.344007,-6.266802
100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),False,False,25,1,24,OPEN,1740297834000,53.347106,-6.292041
24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,False,False,20,2,18,OPEN,1740297690000,53.352149,-6.260533
64,dublin,SANDWITH STREET,Sandwith Street,False,False,40,25,15,OPEN,1740297818000,53.345203,-6.247163
109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,False,False,29,3,26,OPEN,1740297621000,53.353331,-6.249319
85,dublin,ROTHE ABBEY,Rothe Abbey,False,False,35,30,5,OPEN,1740297746000,53.338776,-6.30395
107,dublin,CHARLEVILLE ROAD,Charleville Road,False,False,40,40,0,OPEN,1740297592000,53.359157,-6.281866
33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,False,False,23,8,15,OPEN,1740297837000,53.349013,-6.260311
44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,False,False,30,30,0,OPEN,1740297643000,53.358437,-6.260641
89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,False,False,40,37,3,OPEN,1740297672000,53.335211,-6.2509
57,dublin,GRATTAN STREET,Grattan Street,False,False,23,17,6,OPEN,1740297670000,53.339629,-6.243778
80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),False,False,40,29,11,OPEN,1740297668000,53.341359,-6.292951
41,dublin,HARCOURT TERRACE,Harcourt Terrace,False,False,20,15,5,OPEN,1740297668000,53.332763,-6.257942
3,dublin,BOLTON STREET,Bolton Street,False,False,20,4,16,OPEN,1740297925000,53.351182,-6.269859
40,dublin,JERVIS STREET,Jervis Street,False,False,21,0,21,OPEN,1740297774000,53.3483,-6.266651
29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,False,False,29,4,25,OPEN,1740297661000,53.346057,-6.268001
103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),False,False,40,30,10,OPEN,1740297601000,53.354663,-6.278681
28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,False,False,30,28,2,OPEN,1740297809000,53.356299,-6.258586
39,dublin,WILTON TERRACE,Wilton Terrace,False,False,20,13,7,OPEN,1740297610000,53.332383,-6.252717
83,dublin,EMMET ROAD,Emmet Road,False,False,40,13,27,OPEN,1740297601000,53.340714,-6.308191
92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),False,False,40,0,40,OPEN,1740297650000,53.347802,-6.292432
21,dublin,LEINSTER STREET SOUTH,Leinster Street South,False,False,30,6,24,OPEN,1740297778000,53.34218,-6.254485
88,dublin,BLACKHALL PLACE,Blackhall Place,False,False,30,2,28,OPEN,1740297860000,53.3488,-6.281637
42,dublin,SMITHFIELD NORTH,Smithfield North,False,False,30,3,27,OPEN,1740298254000,53.349562,-6.278198
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,False,False,20,19,1,OPEN,1740297863000,53.3537415547453,-6.26530144781526
54,dublin,CLONMEL STREET,Clonmel Street,False,False,33,20,13,OPEN,1740297689000,53.336021,-6.26298
108,dublin,AVONDALE ROAD,Avondale Road,False,False,35,35,0,OPEN,1740298141000,53.359405,-6.276142
20,dublin,JAMES STREET EAST,James Street East,False,False,30,28,2,OPEN,1740297717000,53.336597,-6.248109
56,dublin,MOUNT STREET LOWER,Mount Street Lower,False,False,40,35,5,OPEN,1740298028000,53.33796,-6.24153
